after: itr =  16, myrank =   1, x(  5, 2) =     0.42559E-01, x(  5, 3) =     0.10169E+00
after: itr =  16, myrank =   1, x(  6, 2) =     0.68728E-01, x(  6, 3) =     0.16467E+00
after: itr =  16, myrank =   1, x(  7, 2) =     0.68630E-01, x(  7, 3) =     0.16477E+00
after: itr =  16, myrank =   1, x(  8, 2) =     0.42425E-01, x(  8, 3) =     0.10182E+00
after: itr =  16, myrank =   1, x(  9, 2) =     0.42445E-01, x(  9, 3) =     0.10180E+00
after: itr =  16, myrank =   1, x( 10, 2) =     0.68630E-01, x( 10, 3) =     0.16477E+00
after: itr =  16, myrank =   1, x( 11, 2) =     0.68607E-01, x( 11, 3) =     0.16479E+00
after: itr =  16, myrank =   1, x( 12, 2) =     0.42406E-01, x( 12, 3) =     0.10184E+00
after: itr =  16, myrank =   1, x( 13, 2) =     0.26226E-01, x( 13, 3) =     0.62924E-01
after: itr =  16, myrank =   1, x( 14, 2) =     0.42425E-01, x( 14, 3) =     0.10182E+00
after: itr =  16, myrank =   1, x( 15, 2) =     0.42406E-01, x( 15, 3) =     0.10184E+00
after: itr =  16, myrank =   1, x( 16, 2) =     0.26209E-01, x( 16, 3) =     0.62941E-01
before: itr =  21, myrank =   1, x(  1, 2) =     0.26194E-01, x(  1, 3) =     0.62943E-01
before: itr =  21, myrank =   1, x(  2, 2) =     0.42389E-01, x(  2, 3) =     0.10184E+00
before: itr =  21, myrank =   1, x(  3, 2) =     0.42396E-01, x(  3, 3) =     0.10184E+00
before: itr =  21, myrank =   1, x(  4, 2) =     0.26202E-01, x(  4, 3) =     0.62943E-01
before: itr =  21, myrank =   1, x(  5, 2) =     0.42389E-01, x(  5, 3) =     0.10184E+00
before: itr =  21, myrank =   1, x(  6, 2) =     0.68610E-01, x(  6, 3) =     0.16479E+00
before: itr =  21, myrank =   1, x(  7, 2) =     0.68612E-01, x(  7, 3) =     0.16480E+00
before: itr =  21, myrank =   1, x(  8, 2) =     0.42408E-01, x(  8, 3) =     0.10185E+00
before: itr =  21, myrank =   1, x(  9, 2) =     0.42396E-01, x(  9, 3) =     0.10184E+00
before: itr =  21, myrank =   1, x( 10, 2) =     0.68612E-01, x( 10, 3) =     0.16480E+00
before: itr =  21, myrank =   1, x( 11, 2) =     0.68611E-01, x( 11, 3) =     0.16480E+00
before: itr =  21, myrank =   1, x( 12, 2) =     0.42405E-01, x( 12, 3) =     0.10185E+00
before: itr =  21, myrank =   1, x( 13, 2) =     0.26202E-01, x( 13, 3) =     0.62943E-01
before: itr =  21, myrank =   1, x( 14, 2) =     0.42408E-01, x( 14, 3) =     0.10185E+00
before: itr =  21, myrank =   1, x( 15, 2) =     0.42405E-01, x( 15, 3) =     0.10185E+00
before: itr =  21, myrank =   1, x( 16, 2) =     0.26210E-01, x( 16, 3) =     0.62950E-01
after: itr =  21, myrank =   1, x(  1, 2) =     0.26207E-01, x(  1, 3) =     0.62943E-01
after: itr =  21, myrank =   1, x(  2, 2) =     0.42407E-01, x(  2, 3) =     0.10184E+00
after: itr =  21, myrank =   1, x(  3, 2) =     0.42404E-01, x(  3, 3) =     0.10184E+00
after: itr =  21, myrank =   1, x(  4, 2) =     0.26208E-01, x(  4, 3) =     0.62943E-01
after: itr =  21, myrank =   1, x(  5, 2) =     0.42407E-01, x(  5, 3) =     0.10184E+00
after: itr =  21, myrank =   1, x(  6, 2) =     0.68606E-01, x(  6, 3) =     0.16479E+00
after: itr =  21, myrank =   1, x(  7, 2) =     0.68603E-01, x(  7, 3) =     0.16480E+00
after: itr =  21, myrank =   1, x(  8, 2) =     0.42395E-01, x(  8, 3) =     0.10185E+00
after: itr =  21, myrank =   1, x(  9, 2) =     0.42404E-01, x(  9, 3) =     0.10184E+00
after: itr =  21, myrank =   1, x( 10, 2) =     0.68603E-01, x( 10, 3) =     0.16480E+00
after: itr =  21, myrank =   1, x( 11, 2) =     0.68600E-01, x( 11, 3) =     0.16480E+00
after: itr =  21, myrank =   1, x( 12, 2) =     0.42395E-01, x( 12, 3) =     0.10185E+00
after: itr =  21, myrank =   1, x( 13, 2) =     0.26208E-01, x( 13, 3) =     0.62943E-01
after: itr =  21, myrank =   1, x( 14, 2) =     0.42395E-01, x( 14, 3) =     0.10185E+00
after: itr =  21, myrank =   1, x( 15, 2) =     0.42395E-01, x( 15, 3) =     0.10185E+00
after: itr =  21, myrank =   1, x( 16, 2) =     0.26200E-01, x( 16, 3) =     0.62950E-01
before: itr =  26, myrank =   1, x(  1, 2) =     0.26204E-01, x(  1, 3) =     0.62946E-01
before: itr =  26, myrank =   1, x(  2, 2) =     0.42399E-01, x(  2, 3) =     0.10185E+00
before: itr =  26, myrank =   1, x(  3, 2) =     0.42399E-01, x(  3, 3) =     0.10185E+00
before: itr =  26, myrank =   1, x(  4, 2) =     0.26204E-01, x(  4, 3) =     0.62946E-01
before: itr =  26, myrank =   1, x(  5, 2) =     0.42399E-01, x(  5, 3) =     0.10185E+00
before: itr =  26, myrank =   1, x(  6, 2) =     0.68603E-01, x(  6, 3) =     0.16479E+00
before: itr =  26, myrank =   1, x(  7, 2) =     0.68603E-01, x(  7, 3) =     0.16479E+00
before: itr =  26, myrank =   1, x(  8, 2) =     0.42400E-01, x(  8, 3) =     0.10185E+00
before: itr =  26, myrank =   1, x(  9, 2) =     0.42399E-01, x(  9, 3) =     0.10185E+00
before: itr =  26, myrank =   1, x( 10, 2) =     0.68603E-01, x( 10, 3) =     0.16479E+00
before: itr =  26, myrank =   1, x( 11, 2) =     0.68605E-01, x( 11, 3) =     0.16479E+00
before: itr =  26, myrank =   1, x( 12, 2) =     0.42400E-01, x( 12, 3) =     0.10185E+00
before: itr =  26, myrank =   1, x( 13, 2) =     0.26204E-01, x( 13, 3) =     0.62946E-01
before: itr =  26, myrank =   1, x( 14, 2) =     0.42400E-01, x( 14, 3) =     0.10185E+00
before: itr =  26, myrank =   1, x( 15, 2) =     0.42400E-01, x( 15, 3) =     0.10185E+00
