 epsilon =   9.99999993922529029E-009
 iteration:          500
 relative error =   5.49501557818211526E-004
 iteration:         1000
 relative error =   1.70323743169829037E-004
 iteration:         1500
 relative error =   6.12114540364069084E-005
 iteration:         2000
 relative error =   2.25384304266846509E-005
 iteration:         2500
 relative error =   8.35964535153492275E-006
 iteration:         3000
 relative error =   3.10882879600908660E-006
 iteration:         3500
 relative error =   1.15725940385589347E-006
 iteration:         4000
 relative error =   4.30946077248999775E-007
 iteration:         4500
 relative error =   1.60499662089030660E-007
 iteration:         5000
 relative error =   5.97788124169836941E-008
 iteration:         5500
 relative error =   2.22653038927788791E-008
 iteration:         5905
  35  13 0.06383725
  36  13 0.06079903
  37  13 0.05752086
  38  13 0.05401568
  39  13 0.05029733
  40  13 0.04638048
  41  13 0.04228058
  42  13 0.03801383
  43  13 0.03359704
  44  13 0.02904767
  45  13 0.02438366
  46  13 0.01962342
  47  13 0.01478573
  48  13 0.00988969
  49  13 0.00495462
   1  14 0.00542700
   2  14 0.01083258
   3  14 0.01619540
   4  14 0.02149432
   5  14 0.02670840
   6  14 0.03181708
   7  14 0.03680019
   8  14 0.04163807
   9  14 0.04631162
  10  14 0.05080240
  11  14 0.05509268
  12  14 0.05916554
  13  14 0.06300490
  14  14 0.06659561
  15  14 0.06992350
  16  14 0.07297543
  17  14 0.07573936
  18  14 0.07820438
  19  14 0.08036077
  20  14 0.08220000
  21  14 0.08371484
  22  14 0.08489928
  23  14 0.08574867
  24  14 0.08625965
  25  14 0.08643020
  26  14 0.08625965
  27  14 0.08574867
  28  14 0.08489928
  29  14 0.08371484
  30  14 0.08220000
  31  14 0.08036077
  32  14 0.07820438
  33  14 0.07573936
  34  14 0.07297543
  35  14 0.06992350
  36  14 0.06659561
  37  14 0.06300490
  38  14 0.05916554
  39  14 0.05509268
  40  14 0.05080240
  41  14 0.04631162
  42  14 0.04163807
  43  14 0.03680019
  44  14 0.03181708
  45  14 0.02670840
  46  14 0.02149432
  47  14 0.01619540
  48  14 0.01083258
  49  14 0.00542700
   1  15 0.00592079
   2  15 0.01181821
   3  15 0.01766900
   4  15 0.02345005
   5  15 0.02913855
   6  15 0.03471206
   7  15 0.04014857
   8  15 0.04542664
   9  15 0.05052543
  10  15 0.05542482
  11  15 0.06010547
  12  15 0.06454891
  13  15 0.06873761
  14  15 0.07265503
  15  15 0.07628572
  16  15 0.07961534
  17  15 0.08263075
  18  15 0.08532006
  19  15 0.08767265
  20  15 0.08967924
  21  15 0.09133190
  22  15 0.09262412
  23  15 0.09355079
  24  15 0.09410826
  25  15 0.09429433
  26  15 0.09410826
  27  15 0.09355079
  28  15 0.09262412
  29  15 0.09133190
  30  15 0.08967924
  31  15 0.08767265
  32  15 0.08532006
  33  15 0.08263075
  34  15 0.07961534
  35  15 0.07628572
  36  15 0.07265503
  37  15 0.06873761
  38  15 0.06454891
  39  15 0.06010547
  40  15 0.05542482
  41  15 0.05052543
  42  15 0.04542664
  43  15 0.04014857
  44  15 0.03471206
  45  15 0.02913855
  46  15 0.02345005
  47  15 0.01766900
  48  15 0.01181821
  49  15 0.00592079
   1  16 0.00643795
   2  16 0.01285049
   3  16 0.01921232
   4  16 0.02549833
   5  16 0.03168370
   6  16 0.03774404
   7  16 0.04365542
   8  16 0.04939450
   9  16 0.05493865
  10  16 0.06026599
  11  16 0.06535548
  12  16 0.07018704
  13  16 0.07474161
  14  16 0.07900120
  15  16 0.08294901
  16  16 0.08656947
  17  16 0.08984827
  18  16 0.09277248
  19  16 0.09533056
  20  16 0.09751241
  21  16 0.09930943
  22  16 0.10071452
  23  16 0.10172214
  24  16 0.10232830
  25  16 0.10253062
  26  16 0.10232830
  27  16 0.10172214
